"","Mode","Units","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Country"
"114","Land","Thousands",10935.1,10730,10691.7,11548.5,11701.2,11509.4,11801.4,12333.5,10499.9,10933.6,10317.6,9726.3,9283.7,8646,8143.6,8250.4,7997.2,8200.4,8160.5,8091.1,8848.49999999999,9373.4,9458.5,9802.3,10032.9,1294.5,1461.1,5766.8,"CANADA"
"115","Air","Thousands",361,373,381,404,395,354,334,303,294,260,168,267,292,303,272,288,309,322,345,383,385,385,418.4,463,503,121.8,17.3,284.3,"CAYMAN ISLANDS"
"116","Water","Thousands",683,800,867,871,1036,1031,1215,1575,1819,1693,1799,1930,1716,1553,1520,1598,1401,1507,1376,1610,1717,1712,1728.4,1921,1831,538.1,NA,743.4,"CAYMAN ISLANDS"
"117","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAYMAN ISLANDS"
"118","Air","Thousands",26,21,17,7.5,10,11.2,9.9,2.9,5.7,8.2,12,13.7,17.1,30.6,52.4,53.8,65.4,70.8,84,96,121,82,107,109,87,35,NA,NA,"CENTRAL AFRICAN REPUBLIC"
"119","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL AFRICAN REPUBLIC"
"120","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL AFRICAN REPUBLIC"
"121","Air","Thousands",NA,NA,NA,27,31,38,79,80,54,48,21,42,74,58,67,62,74,84,97,119,120,98,87,77,79,11,40,NA,"CHAD"
"122","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHAD"
"123","Land","Thousands",NA,NA,NA,14,15,16,39,40,27,21,9,4,3,3,3,9,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHAD"
"124","Air","Thousands",552,571,655,683,640,662,649,606,708,760,855,912,1055,1086,1030,1052,1265,1445,1475,1534.96,1710,1985,2569.3,2364.3,2078.9,422.6,185.9,1135.3,"CHILE"
"125","Water","Thousands",8,6,13,17,20,26,34,28,37,67,75,95,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHILE"
"126","Land","Thousands",980,872,975,1057,972,1054,1040,778,869,958,1097,1246,1348,1624,1730,1749,1872,2109,2101,2139.5,2768,3656,3880.6,3358.6,2439.1,696.5,4.1,895.1,"CHILE"
"127","Air","Thousands",4813,5325,5856,5559,6627,7745,8617,10343,8080,12617,14736,16500,18815,16813,16301,20014,20911,21421,20744.2,21086.2,21012.3,22675.6,23070,24448.1,25298.6,NA,NA,NA,"CHINA"
"128","Water","Thousands",3997,4164,4578,3754,3814,3860,4115,4377,3787,4727,5212,5484,5920,5480,4672,5039,5082,4793,4643.6,4593.7,4540.4,4731.5,4612.4,4658.8,4228.6,NA,NA,NA,"CHINA"
"129","Land","Thousands",37577,41637,47154,54164,62355,71839,76280,83188,79794,91694,100345,102958,107137,107734,105503,108709,109430,106191,103690,102818.3,108267.7,114366.5,125577.7,129499.5,133010.6,NA,NA,NA,"CHINA"
"130","Air","Thousands",294,495,546,645,510,520,549,507,551,701,834,936,1055,1068,1192,1145.9,1384.5,1284.1,1394,1576.7,1852.7,2094.2,2310.6,2570.1,2671.1,758.2,1234,2901.7,"COLOMBIA"
"131","Water","Thousands",70,193,162,149,181,150,175,96,44,51,50,52,128,231,6,9.8,16.9,14.4,18.6,28.9,29.9,32.9,39.8,42.6,44.2,11.1,6.4,22.7,"COLOMBIA"
"132","Land","Thousands",1035,63,50,NA,34,37,64,58,73,88,97,116,139,151,155,61.3,69.4,66.8,74.4,89.4,102.2,113.9,115.4,96.4,98.7,22.4,8.8,115.9,"COLOMBIA"
"133","Air","Thousands",23,24,26,27,24,24,19.4,18.9,14.4,17.6,19.6,17.1,15.2,14.8,11.3,15.3,18.8,22.8,21.9,22.8,23.6,26.8,28,35.9,45.1,7,28.8,NA,"COMOROS"
"134","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COMOROS"
"135","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COMOROS"
"136","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,115,136,150,151,163.2,132.5,97.4,95.7,NA,NA,NA,NA,"CONGO"
"137","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,109,123,195,78,61.1,80.3,53.2,62.4,NA,NA,NA,NA,"CONGO"
"138","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONGO"
"139","Air","Thousands",20,NA,NA,NA,NA,NA,26,28,35,36,39,41,47,50,53,81,160,156,180,NA,187.4,186.2,NA,NA,NA,NA,NA,NA,"CONGO, DEMOCRATIC REPUBLIC OF THE"
"140","Water","Thousands",15,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONGO, DEMOCRATIC REPUBLIC OF THE"
"141","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,14,NA,NA,NA,NA,26,10,8,NA,166.3,165.1,NA,NA,NA,NA,NA,NA,"CONGO, DEMOCRATIC REPUBLIC OF THE"
"142","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COOK ISLANDS"
"143","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COOK ISLANDS"
"144","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COOK ISLANDS"
"145","Air","Thousands",581,560,582,669,734,801,812,798,928,1088,1244,1232,1357,1424,1320,1418,1464,1552,1617.4,1721,1859,2114.9,2189.2,2314.9,2418.3,789.8,1270.5,2118,"COSTA RICA"
"146","Water","Thousands",6,6,7,7,10,23,11,6,12,10,9,6,5,4,2,5,7,10,8.4,9.5,8,10.4,10.3,8.9,11.6,4.6,2.4,4.1,"COSTA RICA"
"147","Land","Thousands",198,215,223,266,287,264,308,309,299,355,427,487,618,661,601,677,721,781,802,796.4,793,799.8,760.3,692.9,709.1,217.5,74.2,227.5,"COSTA RICA"
"148","Air","Thousands",188,237,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,231,252,270,289,380,471,537,632.2,719.6,752.3,790,284.1,576,742,"COTE D´IVOIRE"
"149","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COTE D´IVOIRE"
"150","Land","Thousands",NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,904,951.1,1080.7,1212.4,1280.1,384,NA,1305,"COTE D´IVOIRE"
"151","Air","Thousands",419,522,577,631,580,740,813,887,1006,1202,1566,1825,2033,2055,1947,2136,2299,2505,2689,2879,3119,3566,4222.3,4699.1,5153.4,882.1,2123.5,4531.1,"CROATIA"
"152","Water","Thousands",78,109,164,178,122,183,244,306,384,921,984,1036,1200,1367,1405,1542,1638,1619,1602,1451,1439,1506,1353.7,1497.8,1590.4,21.8,290,969.9,"CROATIA"
"153","Land","Thousands",15603,18454,22919,24690,28513,36303,39072,40543,41467,42851,43212,44872,49038,47914,44221,45328,46032,43061,44054,46838,51300,52515,53662.2,51471.5,53276.9,20703.8,31709.1,44522.3,"CROATIA"
"154","Air","Thousands",742,999,1153,1390,1561,1741,1736,1656,1847,2017,2261,2150,2119,2316,2405,2507,2688,2823,2839,2981,3506,3975,4594,4684,4263,1085,356,1613,"CUBA"
"155","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUBA"
"156","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUBA"
"157","Air","Thousands",224,214,205,206,212,205,219,226,228,233,234,250,323,420,385,378,436,471,487,500,506.5,474.3,423.2,452.4,483.1,180.2,272.1,500.6,"CURAÇAO"
"158","Water","Thousands",172,173,217,231,221,308,300,319,279,219,276,322,341,353,423,383,401,436,584,629,565.8,469.5,634.4,757.3,809.9,256.2,146.2,533.6,"CURAÇAO"
"159","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CURAÇAO"
"160","Air","Thousands",2159,2002,2099,2245,2451,2703,2717,2431,2320,2357,2479,2408,2425,2410,2145,2179,2410,2471,2419,2453,2672,3201,3673,3962,4004.6,NA,NA,NA,"CYPRUS"
"161","Water","Thousands",94,87,95,112,127,209,124,64,96,121,178,221,246,221,225,271,216,163,207,135,108,85,77,62,112.3,NA,NA,NA,"CYPRUS"
"162","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CYPRUS"
"163","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CZECH REPUBLIC (CZECHIA)"
"164","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CZECH REPUBLIC (CZECHIA)"
"165","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CZECH REPUBLIC (CZECHIA)"
"166","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DENMARK"
"167","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DENMARK"
"168","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DENMARK"
"169","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,142,168,75,114,145,"DJIBOUTI"
"170","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DJIBOUTI"
"171","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DJIBOUTI"
"172","Air","Thousands",44,47,48,47,54,50,47,49,52,56,58,62,56,55,48,49,48,47,47,51,44,47.6,42.4,37.3,50,13.2,14.4,38.5,"DOMINICA"
"173","Water","Thousands",24,22,20,20,24,22,21,22,25,26,21,23,24,26,27,28,28,32,31,30.5,31,30.8,29.9,26.7,40,8.4,0.4,22.6,"DOMINICA"
"174","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOMINICA"
"175","Air","Thousands",1776,1926,2211,2309,2649,2978,2882,2811,3282,3450,3691,3965,3980,3980,3992,4125,4306,4563,4690,5141.4,5600,5959.3,6188,6568.9,6446,2405,4994.3,7163.4,"DOMINICAN REPUBLIC"
"176","Water","Thousands",30,111,271,393,283,183,208,247,398,457,290,303,385,475,497,353,348,338,424,435,529,809.3,1108,982,1104,343,333.1,1325.4,"DOMINICAN REPUBLIC"
"177","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOMINICAN REPUBLIC"
"178","Air","Thousands",281,307,348,353,343,383,422,432,450,496,540,557,639,714,699,750,783,848.3,959,1187.4,1176.7,1101.8,1138.2,1192.5,1220.5,394.6,651.3,1040.1,"ECUADOR"
"179","Water","Thousands",9,11,9,10,6,5,5,6,5,8,5,4,7,9,8,8,21,27.2,12,64.4,65,61.5,55,44.3,49.6,9.5,3.3,18.7,"ECUADOR"
"180","Land","Thousands",149,176,173,148,168,240,214,245,306,315,315,279,291,282,261,289,337,396.4,393,442.7,434.7,405.8,612.3,1298.3,837.6,103.2,14.8,206.1,"ECUADOR"
"181","Air","Thousands",2075.5,2581.2,2744.57,2280.8,3541.5,4209.7,3790.2,4279.9,4840.9,6735.8,7209.5,7610.5,9435.7,10960.1,10773.4,12615.6,8158.8,9851.7,8237.4,9010.4,8521,4593.6,7300.3,9975.7,11316.6,3268.8,7342.3,10326.3,"EGYPT"
"182","Water","Thousands",90.7,204.8,173.9,144.1,148.3,173.2,159.8,151.4,156.5,178.2,234.5,223.2,268.2,286.8,242.5,277.5,185.4,234.7,232.9,125.6,100.2,92.8,91.4,100,100.4,13.9,32.6,73.5,"EGYPT"
"183","Land","Thousands",705.2,742.2,738.46,788.2,799.6,733,397,474.5,748.7,880.6,800.3,812,906.2,1048.6,897.7,1158.2,1152.7,1109.4,703.3,492.2,517.7,571.4,764.9,1120.2,1458.6,335.9,592,1225.2,"EGYPT"
"184","Air","Thousands",154,164,206,189,230,234,224,253,262,449,499,483,527,490,430,426,470,541,589,591.3,599,615.8,642.5,727.4,772.9,293,813,1010.2,"EL SALVADOR"
"185","Water","Thousands",NA,NA,NA,NA,5,5,6,5,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,"EL SALVADOR"
"186","Land","Thousands",81,119,181,352,423,556,505,541,457,501,627,795,811,892,661,723,714,714,694,753.9,803,817.8,913.3,949.9,992.7,256,406,881.1,"EL SALVADOR"
"187","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EQUATORIAL GUINEA"
"188","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EQUATORIAL GUINEA"
"189","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EQUATORIAL GUINEA"
"190","Air","Thousands",56,58,62,35,26,34,59,51,49,51,45,35,38,38,35,40,42,79,48,45,32,84,NA,NA,NA,NA,NA,NA,"ERITREA"
"191","Water","Thousands",5,3,5,2,3,3,2,2,2,2,1,2,2,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,"ERITREA"
"192","Land","Thousands",254,356,343,151,28,33,52,48,29,34,37,41,41,31,44,44,65,49,92,73,81,57,NA,NA,NA,NA,NA,NA,"ERITREA"
"193","Air","Thousands",105,130,135,150,NA,149,152,161,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESTONIA"
"194","Water","Thousands",1585,1735,1770,1900,NA,2221,2143,2212,2193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESTONIA"
"195","Land","Thousands",420,579,713,859,NA,940,935,880,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESTONIA"
"196","Air","Thousands",23,22,20,21,17,20,13,14,17,NA,22,22,27,27,26,25,22,23,22,16.2,20,20.4,20.1,19.5,19,11.4,11.6,37.2,"ESWATINI"
"197","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESWATINI"
"198","Land","Thousands",276,1315,1615,965,1236,1131,1299,1357,1526,NA,1160,1178,1203,1159,1318,1317,1306,1256,1277,1308.4,1236,1258.2,1322.5,1257.7,1206.5,334,199.1,465.4,"ESWATINI"
"199","Air","Thousands",103,109,115,91,92,109,116,131,160,173,193,290,312,330,371,403,450,513,661,748.6,839,845.4,906.1,833.5,767.8,256.6,474.5,853.8,"ETHIOPIA"
"200","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ETHIOPIA"
"201","Land","Thousands",NA,NA,24,21,23,27,32,25,20,11,34,40,46,53,56,65,73,83,20,21.8,25,25.2,27.3,15.6,43.8,14,43.7,42.8,"ETHIOPIA"
"202","Air","Thousands",313,396,424,365,404,287,342,390,422,NA,537,538,527,570,528,613,654,642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIJI"
"203","Water","Thousands",23,23,17,6,6,7,6,8,8,NA,8,11,13,15,14,19,21,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIJI"
"204","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIJI"
"205","Air","Thousands",NA,NA,NA,1222,1208,1427,1558,1603,1577,1640,1734,1999,2049,2265,2036,2214,2533,2434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FINLAND"
"206","Water","Thousands",NA,NA,NA,1247,1104,1218,1241,1362,1287,1449,1538,1593,1694,1637,1606,1580,1722,1865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FINLAND"
"207","Land","Thousands",NA,NA,NA,963,1051,1144,1453,1722,1663,1765,1766,1753,1993,2170,2053,2388,3005,3337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FINLAND"
"208","Air","Thousands",NA,9136,9670,NA,NA,NA,11574,NA,NA,14882,16325,17825,20710,21895,19520,18593.6,21190.4,22233.1,23580.5,23670,26326.8,26350.3,27508.9,28880.3,29395.1,NA,NA,NA,"FRANCE"
"209","Water","Thousands",NA,4527,4990,NA,NA,NA,4470,NA,NA,7558,7488,7793,7675,7309,6962,7055.8,6652,6094.5,6677.2,5256,5607.2,5094.3,5814.4,5774.6,5877.5,NA,NA,NA,"FRANCE"
"210","Land","Thousands",NA,48742,51931,NA,NA,NA,59158,NA,NA,51993,51175,52298,52467,50014,50282,50997.5,52656.2,53652.1,53376,54775,52517.5,51237.6,53434.9,54667,55641.4,NA,NA,NA,"FRANCE"
"211","Air","Thousands",NA,NA,NA,NA,NA,NA,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,96,111,NA,NA,NA,NA,NA,"FRENCH GUIANA"
"212","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FRENCH GUIANA"
"213","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FRENCH GUIANA"
"214","Air","Thousands",166,164,180,189,211,252,228,189,213,212,208,222,218,196,160,154,163,169,164,181,184,192,199,216,237,77,83,219,"FRENCH POLYNESIA"
"215","Water","Thousands",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FRENCH POLYNESIA"
"216","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FRENCH POLYNESIA"
"217","Air","Thousands",125,145,167,195,178,155,169,208,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABON"
"218","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABON"
"219","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABON"
"220","Air","Thousands",45,77,85,91,96,79,57,81,89,90,108,125,143,147,142,91,106,157,171,156,135,161.1,162.1,209.1,235.8,89.2,102.4,182.8,"GAMBIA"
"221","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,3,NA,NA,NA,NA,NA,NA,NA,NA,17,15,11.9,10.5,13.2,8.9,11.7,12.8,"GAMBIA"
"222","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,362,347,486,345,496,NA,NA,NA,NA,NA,NA,297,273.6,347.6,332.4,370.5,148,217.6,374.4,"GAMBIA"
"223","Air","Thousands",15,27,200,72,200,72,58,67,73,96,131,179,161,192,199,245,342.5,431,584.6,639.9,737.7,998.8,1439.7,1788.4,1829.3,269.2,877.2,1536.3,"GEORGIA"
"224","Water","Thousands",NA,NA,NA,NA,NA,52,34,40,45,34,NA,50,41,48,54,57,47.3,42.4,41.7,40.5,36,36.1,31.7,32.5,40.5,13.3,6.9,18,"GEORGIA"
"225","Land","Thousands",70,90,113,245,184,263,210,191,195,237,429,754,849,1050,1247,1730,2321.9,3632.5,4328.1,4324,4482.3,4358,5011.4,5382.5,5855.9,1230.9,837.3,3149.5,"GEORGIA"
"226","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70924,75672,77771,79298,82072,85658,88747,94671,99763,102244,26432,34307,73226,"GERMANY"
